-999 -999 -999     2.43400 -999.00000    4.00000 -999.00000 -999.00000
-999 -999 -999    -2.23000 -999.00000    4.29146 -999.00000 -999.00000
-999 -999 -999    -0.53300 -999.00000    4.51241 -999.00000 -999.00000
-999 -999 -999     0.84700 -999.00000    4.76214 -999.00000 -999.00000
-999 -999 -999     0.87500 -999.00000    5.01219 -999.00000 -999.00000
-999 -999 -999    -0.11400 -999.00000    5.22195 -999.00000 -999.00000
-999 -999 -999    -1.50800 -999.00000    5.36783 -999.00000 -999.00000
-999 -999 -999     1.50400 -999.00000    5.52444 -999.00000 -999.00000
-999 -999 -999     2.82000 -999.00000    5.74023 -999.00000 -999.00000
-999 -999 -999     5.46700 -999.00000    6.00571 -999.00000 -999.00000
-999 -999 -999     5.24500 -999.00000    6.28997 -999.00000 -999.00000
-999 -999 -999     1.79600 -999.00000    6.47296 -999.00000 -999.00000
-999 -999 -999     0.19700 -999.00000    6.53229 -999.00000 -999.00000
-999 -999 -999     0.02400 -999.00000    6.54493 -999.00000 -999.00000
-999 -999 -999     0.38200 -999.00000    6.55566 -999.00000 -999.00000
-999 -999 -999     0.62100 -999.00000    6.57321 -999.00000 -999.00000
-999 -999 -999    -0.44800 -999.00000    6.56817 -999.00000 -999.00000
-999 -999 -999     0.08000 -999.00000    6.54926 -999.00000 -999.00000
-999 -999 -999    -0.35200 -999.00000    6.53124 -999.00000 -999.00000
-999 -999 -999     1.39800 -999.00000    6.53875 -999.00000 -999.00000
-999 -999 -999     1.41700 -999.00000    6.57796 -999.00000 -999.00000
-999 -999 -999    -1.31200 -999.00000    6.55505 -999.00000 -999.00000
-999 -999 -999     1.15700 -999.00000    6.52712 -999.00000 -999.00000
-999 -999 -999     5.25800 -999.00000    6.63222 -999.00000 -999.00000
-999 -999 -999     7.86600 -999.00000    6.85971 -999.00000 -999.00000
-999 -999 -999     5.85300 -999.00000    7.07458 -999.00000 -999.00000
-999 -999 -999     3.08100 -999.00000    7.16317 -999.00000 -999.00000
-999 -999 -999     1.44200 -999.00000    7.14471 -999.00000 -999.00000
-999 -999 -999     4.60800 -999.00000    7.15987 -999.00000 -999.00000
-999 -999 -999     8.54300 -999.00000    7.32421 -999.00000 -999.00000
-999 -999 -999     5.56400 -999.00000    7.48960 -999.00000 -999.00000
-999 -999 -999     6.03600 -999.00000    7.57919 -999.00000 -999.00000
-999 -999 -999     4.16900 -999.00000    7.62556 -999.00000 -999.00000
-999 -999 -999     2.28900 -999.00000    7.58094 -999.00000 -999.00000
-999 -999 -999     1.54500 -999.00000    7.48342 -999.00000 -999.00000
-999 -999 -999     1.79400 -999.00000    7.38883 -999.00000 -999.00000
-999 -999 -999     1.77800 -999.00000    7.31294 -999.00000 -999.00000
-999 -999 -999     3.17600 -999.00000    7.27809 -999.00000 -999.00000
-999 -999 -999     2.79500 -999.00000    7.27061 -999.00000 -999.00000
-999 -999 -999     1.65400 -999.00000    7.23186 -999.00000 -999.00000
-999 -999 -999     1.91300 -999.00000    7.18024 -999.00000 -999.00000
-999 -999 -999     3.12800 -999.00000    7.16847 -999.00000 -999.00000
-999 -999 -999     4.50700 -999.00000    7.21539 -999.00000 -999.00000
-999 -999 -999     4.92700 -999.00000    7.29694 -999.00000 -999.00000
-999 -999 -999     7.75100 -999.00000    7.44103 -999.00000 -999.00000
-999 -999 -999     6.76800 -999.00000    7.61099 -999.00000 -999.00000
-999 -999 -999     5.85500 -999.00000    7.72074 -999.00000 -999.00000
-999 -999 -999     5.20700 -999.00000    7.78384 -999.00000 -999.00000
-999 -999 -999     2.67800 -999.00000    7.76875 -999.00000 -999.00000
-999 -999 -999     0.53400 -999.00000    7.65193 -999.00000 -999.00000
-999 -999 -999     0.30500 -999.00000    7.50199 -999.00000 -999.00000
-999 -999 -999     2.66900 -999.00000    7.42530 -999.00000 -999.00000
-999 -999 -999     4.86100 -999.00000    7.46350 -999.00000 -999.00000
-999 -999 -999     5.89600 -999.00000    7.57207 -999.00000 -999.00000
-999 -999 -999     6.59400 -999.00000    7.71017 -999.00000 -999.00000
-999 -999 -999     7.10600 -999.00000    7.86327 -999.00000 -999.00000
-999 -999 -999     6.91500 -999.00000    8.00962 -999.00000 -999.00000
-999 -999 -999     5.57800 -999.00000    8.10667 -999.00000 -999.00000
-999 -999 -999     6.82600 -999.00000    8.19396 -999.00000 -999.00000
-999 -999 -999     9.87600 -999.00000    8.37769 -999.00000 -999.00000
-999 -999 -999    10.12600 -999.00000    8.62423 -999.00000 -999.00000
-999 -999 -999     9.18000 -999.00000    8.82888 -999.00000 -999.00000
-999 -999 -999     6.33600 -999.00000    8.91627 -999.00000 -999.00000
-999 -999 -999     6.87200 -999.00000    8.93824 -999.00000 -999.00000
-999 -999 -999     7.41400 -999.00000    8.99169 -999.00000 -999.00000
-999 -999 -999     9.44100 -999.00000    9.11107 -999.00000 -999.00000
-999 -999 -999    10.40800 -999.00000    9.29935 -999.00000 -999.00000
-999 -999 -999     9.22400 -999.00000    9.46316 -999.00000 -999.00000
-999 -999 -999     7.00900 -999.00000    9.51866 -999.00000 -999.00000
-999 -999 -999     7.00300 -999.00000    9.51306 -999.00000 -999.00000
-999 -999 -999     6.14000 -999.00000    9.49340 -999.00000 -999.00000
-999 -999 -999     5.67900 -999.00000    9.44982 -999.00000 -999.00000
-999 -999 -999     7.67700 -999.00000    9.46456 -999.00000 -999.00000
-999 -999 -999     9.52100 -999.00000    9.59104 -999.00000 -999.00000
-999 -999 -999    10.55000 -999.00000    9.78728 -999.00000 -999.00000
-999 -999 -999     9.63500 -999.00000    9.96770 -999.00000 -999.00000
-999 -999 -999     8.19500 -999.00000   10.06340 -999.00000 -999.00000
-999 -999 -999     6.87300 -999.00000   10.07426 -999.00000 -999.00000
-999 -999 -999     7.93200 -999.00000   10.08673 -999.00000 -999.00000
-999 -999 -999    10.56100 -999.00000   10.21550 -999.00000 -999.00000
-999 -999 -999    11.24600 -999.00000   10.43245 -999.00000 -999.00000
-999 -999 -999     9.75900 -999.00000   10.60311 -999.00000 -999.00000
-999 -999 -999     8.69000 -999.00000   10.67975 -999.00000 -999.00000
-999 -999 -999     9.42900 -999.00000   10.74552 -999.00000 -999.00000
-999 -999 -999     8.51900 -999.00000   10.80735 -999.00000 -999.00000
-999 -999 -999     6.07000 -999.00000   10.76649 -999.00000 -999.00000
-999 -999 -999     7.54700 -999.00000   10.71680 -999.00000 -999.00000
-999 -999 -999     8.27200 -999.00000   10.75853 -999.00000 -999.00000
-999 -999 -999     7.71800 -999.00000   10.81196 -999.00000 -999.00000
-999 -999 -999     7.03500 -999.00000   10.83124 -999.00000 -999.00000
-999 -999 -999     8.99900 -999.00000   10.90153 -999.00000 -999.00000
-999 -999 -999     7.08900 -999.00000   10.97547 -999.00000 -999.00000
-999 -999 -999     8.29800 -999.00000   11.02862 -999.00000 -999.00000
-999 -999 -999     8.22200 -999.00000   11.12336 -999.00000 -999.00000
-999 -999 -999    10.07900 -999.00000   11.27374 -999.00000 -999.00000
-999 -999 -999     9.64600 -999.00000   11.45951 -999.00000 -999.00000
-999 -999 -999     9.61500 -999.00000   11.61258 -999.00000 -999.00000
-999 -999 -999    10.42200 -999.00000   11.78009 -999.00000 -999.00000
-999 -999 -999    11.40700 -999.00000   11.99490 -999.00000 -999.00000
-999 -999 -999    12.10700 -999.00000   12.24621 -999.00000 -999.00000
-999 -999 -999    10.23600 -999.00000   12.42565 -999.00000 -999.00000
-999 -999 -999     9.91700 -999.00000   12.50723 -999.00000 -999.00000
-999 -999 -999    11.53200 -999.00000   12.63866 -999.00000 -999.00000
