-999 -999 -999     2.43400 -999.00000    4.00000 -999.00000 -999.00000
-999 -999 -999    -2.23000 -999.00000    4.16385 -999.00000 -999.00000
-999 -999 -999    -0.53300 -999.00000    4.28844 -999.00000 -999.00000
-999 -999 -999     0.84700 -999.00000    4.43719 -999.00000 -999.00000
-999 -999 -999     0.87500 -999.00000    4.59222 -999.00000 -999.00000
-999 -999 -999    -0.11400 -999.00000    4.72791 -999.00000 -999.00000
-999 -999 -999    -1.50800 -999.00000    4.82886 -999.00000 -999.00000
-999 -999 -999     1.50400 -999.00000    4.94032 -999.00000 -999.00000
-999 -999 -999     2.82000 -999.00000    5.09264 -999.00000 -999.00000
-999 -999 -999     5.46700 -999.00000    5.28116 -999.00000 -999.00000
-999 -999 -999     5.24500 -999.00000    5.48780 -999.00000 -999.00000
-999 -999 -999     1.79600 -999.00000    5.63948 -999.00000 -999.00000
-999 -999 -999     0.19700 -999.00000    5.71969 -999.00000 -999.00000
-999 -999 -999     0.02400 -999.00000    5.77111 -999.00000 -999.00000
-999 -999 -999     0.38200 -999.00000    5.81947 -999.00000 -999.00000
-999 -999 -999     0.62100 -999.00000    5.87016 -999.00000 -999.00000
-999 -999 -999    -0.44800 -999.00000    5.90523 -999.00000 -999.00000
-999 -999 -999     0.08000 -999.00000    5.92929 -999.00000 -999.00000
-999 -999 -999    -0.35200 -999.00000    5.95113 -999.00000 -999.00000
-999 -999 -999     1.39800 -999.00000    5.98650 -999.00000 -999.00000
-999 -999 -999     1.41700 -999.00000    6.04043 -999.00000 -999.00000
-999 -999 -999    -1.31200 -999.00000    6.05467 -999.00000 -999.00000
-999 -999 -999     1.15700 -999.00000    6.06316 -999.00000 -999.00000
-999 -999 -999     5.25800 -999.00000    6.15410 -999.00000 -999.00000
-999 -999 -999     7.86600 -999.00000    6.32541 -999.00000 -999.00000
-999 -999 -999     5.85300 -999.00000    6.49449 -999.00000 -999.00000
-999 -999 -999     3.08100 -999.00000    6.58875 -999.00000 -999.00000
-999 -999 -999     1.44200 -999.00000    6.61581 -999.00000 -999.00000
-999 -999 -999     4.60800 -999.00000    6.66099 -999.00000 -999.00000
-999 -999 -999     8.54300 -999.00000    6.80002 -999.00000 -999.00000
-999 -999 -999     5.56400 -999.00000    6.94342 -999.00000 -999.00000
-999 -999 -999     6.03600 -999.00000    7.04186 -999.00000 -999.00000
-999 -999 -999     4.16900 -999.00000    7.11317 -999.00000 -999.00000
-999 -999 -999     2.28900 -999.00000    7.12473 -999.00000 -999.00000
-999 -999 -999     1.54500 -999.00000    7.09706 -999.00000 -999.00000
-999 -999 -999     1.79400 -999.00000    7.06441 -999.00000 -999.00000
-999 -999 -999     1.77800 -999.00000    7.03787 -999.00000 -999.00000
-999 -999 -999     3.17600 -999.00000    7.03355 -999.00000 -999.00000
-999 -999 -999     2.79500 -999.00000    7.04448 -999.00000 -999.00000
-999 -999 -999     1.65400 -999.00000    7.03305 -999.00000 -999.00000
-999 -999 -999     1.91300 -999.00000    7.01037 -999.00000 -999.00000
-999 -999 -999     3.12800 -999.00000    7.01132 -999.00000 -999.00000
-999 -999 -999     4.50700 -999.00000    7.05015 -999.00000 -999.00000
-999 -999 -999     4.92700 -999.00000    7.11290 -999.00000 -999.00000
-999 -999 -999     7.75100 -999.00000    7.21923 -999.00000 -999.00000
-999 -999 -999     6.76800 -999.00000    7.34653 -999.00000 -999.00000
-999 -999 -999     5.85500 -999.00000    7.43837 -999.00000 -999.00000
-999 -999 -999     5.20700 -999.00000    7.50153 -999.00000 -999.00000
-999 -999 -999     2.67800 -999.00000    7.51323 -999.00000 -999.00000
-999 -999 -999     0.53400 -999.00000    7.45461 -999.00000 -999.00000
-999 -999 -999     0.30500 -999.00000    7.36718 -999.00000 -999.00000
-999 -999 -999     2.66900 -999.00000    7.32158 -999.00000 -999.00000
-999 -999 -999     4.86100 -999.00000    7.34967 -999.00000 -999.00000
-999 -999 -999     5.89600 -999.00000    7.42582 -999.00000 -999.00000
-999 -999 -999     6.59400 -999.00000    7.52473 -999.00000 -999.00000
-999 -999 -999     7.10600 -999.00000    7.63740 -999.00000 -999.00000
-999 -999 -999     6.91500 -999.00000    7.74956 -999.00000 -999.00000
-999 -999 -999     5.57800 -999.00000    7.83246 -999.00000 -999.00000
-999 -999 -999     6.82600 -999.00000    7.91049 -999.00000 -999.00000
-999 -999 -999     9.87600 -999.00000    8.05386 -999.00000 -999.00000
-999 -999 -999    10.12600 -999.00000    8.24356 -999.00000 -999.00000
-999 -999 -999     9.18000 -999.00000    8.41219 -999.00000 -999.00000
-999 -999 -999     6.33600 -999.00000    8.50825 -999.00000 -999.00000
-999 -999 -999     6.87200 -999.00000    8.56082 -999.00000 -999.00000
-999 -999 -999     7.41400 -999.00000    8.63117 -999.00000 -999.00000
-999 -999 -999     9.44100 -999.00000    8.74394 -999.00000 -999.00000
-999 -999 -999    10.40800 -999.00000    8.90409 -999.00000 -999.00000
-999 -999 -999     9.22400 -999.00000    9.05217 -999.00000 -999.00000
-999 -999 -999     7.00900 -999.00000    9.13105 -999.00000 -999.00000
-999 -999 -999     7.00300 -999.00000    9.16687 -999.00000 -999.00000
-999 -999 -999     6.14000 -999.00000    9.18822 -999.00000 -999.00000
-999 -999 -999     5.67900 -999.00000    9.18816 -999.00000 -999.00000
-999 -999 -999     7.67700 -999.00000    9.22168 -999.00000 -999.00000
-999 -999 -999     9.52100 -999.00000    9.32845 -999.00000 -999.00000
-999 -999 -999    10.55000 -999.00000    9.48501 -999.00000 -999.00000
-999 -999 -999     9.63500 -999.00000    9.63606 -999.00000 -999.00000
-999 -999 -999     8.19500 -999.00000    9.73402 -999.00000 -999.00000
-999 -999 -999     6.87300 -999.00000    9.77457 -999.00000 -999.00000
-999 -999 -999     7.93200 -999.00000    9.81211 -999.00000 -999.00000
-999 -999 -999    10.56100 -999.00000    9.92531 -999.00000 -999.00000
-999 -999 -999    11.24600 -999.00000   10.10081 -999.00000 -999.00000
-999 -999 -999     9.75900 -999.00000   10.25078 -999.00000 -999.00000
-999 -999 -999     8.69000 -999.00000   10.34027 -999.00000 -999.00000
-999 -999 -999     9.42900 -999.00000   10.42086 -999.00000 -999.00000
-999 -999 -999     8.51900 -999.00000   10.49682 -999.00000 -999.00000
-999 -999 -999     6.07000 -999.00000   10.50040 -999.00000 -999.00000
-999 -999 -999     7.54700 -999.00000   10.49064 -999.00000 -999.00000
-999 -999 -999     8.27200 -999.00000   10.53717 -999.00000 -999.00000
-999 -999 -999     7.71800 -999.00000   10.59033 -999.00000 -999.00000
-999 -999 -999     7.03500 -999.00000   10.61908 -999.00000 -999.00000
-999 -999 -999     8.99900 -999.00000   10.68080 -999.00000 -999.00000
-999 -999 -999     7.08900 -999.00000   10.74539 -999.00000 -999.00000
-999 -999 -999     8.29800 -999.00000   10.79604 -999.00000 -999.00000
-999 -999 -999     8.22200 -999.00000   10.87490 -999.00000 -999.00000
-999 -999 -999    10.07900 -999.00000   10.99381 -999.00000 -999.00000
-999 -999 -999     9.64600 -999.00000   11.14123 -999.00000 -999.00000
-999 -999 -999     9.61500 -999.00000   11.27151 -999.00000 -999.00000
-999 -999 -999    10.42200 -999.00000   11.41508 -999.00000 -999.00000
-999 -999 -999    11.40700 -999.00000   11.59507 -999.00000 -999.00000
-999 -999 -999    12.10700 -999.00000   11.80620 -999.00000 -999.00000
-999 -999 -999    10.23600 -999.00000   11.97543 -999.00000 -999.00000
-999 -999 -999     9.91700 -999.00000   12.08012 -999.00000 -999.00000
-999 -999 -999    11.53200 -999.00000   12.21589 -999.00000 -999.00000
-999 -999 -999    12.29400 -999.00000   12.40782 -999.00000 -999.00000
-999 -999 -999    12.06100 -999.00000   12.60201 -999.00000 -999.00000
-999 -999 -999     8.67400 -999.00000   12.68555 -999.00000 -999.00000
-999 -999 -999     7.07100 -999.00000   12.63295 -999.00000 -999.00000
-999 -999 -999     9.29400 -999.00000   12.61783 -999.00000 -999.00000
-999 -999 -999     8.79600 -999.00000   12.66440 -999.00000 -999.00000
-999 -999 -999    12.77600 -999.00000   12.81213 -999.00000 -999.00000
-999 -999 -999    16.14400 -999.00000   13.15712 -999.00000 -999.00000
-999 -999 -999    13.40500 -999.00000   13.49283 -999.00000 -999.00000
-999 -999 -999    12.72800 -999.00000   13.69786 -999.00000 -999.00000
-999 -999 -999    13.85700 -999.00000   13.90153 -999.00000 -999.00000
-999 -999 -999    14.88000 -999.00000   14.15730 -999.00000 -999.00000
-999 -999 -999    17.35100 -999.00000   14.50339 -999.00000 -999.00000
-999 -999 -999    18.00800 -999.00000   14.92037 -999.00000 -999.00000
-999 -999 -999    18.04500 -999.00000   15.31799 -999.00000 -999.00000
-999 -999 -999    18.14100 -999.00000   15.67601 -999.00000 -999.00000
-999 -999 -999    13.94900 -999.00000   15.83582 -999.00000 -999.00000
-999 -999 -999    12.12100 -999.00000   15.74973 -999.00000 -999.00000
-999 -999 -999    13.34400 -999.00000   15.67776 -999.00000 -999.00000
